concept,message_text,creator_user_id,avg_alignment,avg_preference,combined_score,rank
Emotional arousal,"What is it about overcoming obstacles that makes you feel most proud of yourself? Is it the fact that you stayed committed to the challenge and your values, even when it was hard? When you can look back and say you gave it your all, without compromising what matters most, that is when you know you are truly growing.",Expert C,4.25,6.0,5.125,5
Injunctive Norms,What would other people do if they were in your shoes? Which behaviors are acceptable and which ones are unacceptable? Are there behaviors that people should encourage and others that should be punished?,Expert A,9.5,6.75,8.125,1
Injunctive Norms,"Imagine you are faced with a tough decision. Are you thinking about how others might view your actions, and how that might impact your relationships with them? It is about being mindful of the unwritten rules that guide our behavior, and letting those guide you towards choices that align with your values and principles.",Expert C,7.0,8.25,7.625,2
Injunctive Norms,What does it take to deliver work you can be proud of? It starts with staying true to the non-negotiables expected of you. Committing to those principles is what earns you both respect and trust.,Expert E,6.5,6.25,6.375,3
Injunctive Norms,"So, what drives you to tackle tough problems with integrity? You're more likely to stay on track when you know what's expected of you, right? It's about doing what's right, even when it's hard, because you know that's what's valued here.",Expert D,6.25,4.75,5.5,4
Injunctive Norms,"What's the best way to handle a difficult project? You're probably thinking about how to get it done, but have you thought about how you want to get it done? It's about being true to your values and doing what you know is right, even when it's tough, because that's what matters most in the end.",Expert B,3.75,4.0,3.875,5
Performance accomplishments,"What's one challenge you've overcome that still makes you feel proud? It’s a solid proof that you’ve got the skills to tackle anything that comes your way! You can tap into that same energy to crush this task, because it's not  about what you’ve done - it's about what you're capable of.",Expert E,7.75,7.25,7.5,1
Performance accomplishments,"What's one thing you've worked on that you're really proud of? It's probably something that was tough at first, but you figured it out. Can you think of the effort you made in that situation that truly helped you succeed, and how you can apply that same approach to what you're working on now?",Expert B,7.5,7.25,7.375,2
Performance accomplishments,Can you remember a situation where you tackled a new challenge and were successful in completing it? Did you experience a sense of mastery? By tackling the challenges in this task you may again experience a sense of mastery and accomplishment.,Expert A,7.75,6.5,7.125,3
Performance accomplishments,"You're facing a tough problem - can you really handle it? Think about the last time you tackled something similar and nailed it. That wasn't luck, it was you, and you can do it again.",Expert D,7.75,6.5,7.125,4
Performance accomplishments,"What has gotten you through tough spots before? It is probably the fact that you've learned to break things down into smaller parts and tackle them one by one. Every obstacle you have overcome so far has shaped your approach to challenges. You have built a track record of solving problems like this, and that is what is gonna help you stay focused on what matters most to you as you work through this challenge.",Expert C,7.5,5.75,6.625,5
Reference Group Identification,Are you aware that you are part of a community? It is a community of people dedicated to participate to the best of their abilities in challenging activities. You now have the opportunity to act as a member of that community.,Expert A,10.0,7.5,8.75,1
Reference Group Identification,"Imagine trying to stay true to yourself while working on this tough project. What kind of crew do you want to identify with, and how do their values impact the choices you make? It is like, when you are part of a group that is all about innovation, you are more likely to take risks and try new things, because that is what your crew is all about.",Expert C,8.0,6.25,7.125,2
Reference Group Identification,"When you're stuck on a difficult project, what helps you decide how to move forward? Is it thinking about the kind of spirit and effort your team is known for? You're part of a group that prides itself on creative solutions, so that mindset guides your choices, even when it's tough.",Expert B,8.75,5.25,7.0,3
Reference Group Identification,"You're working hard on this task, and it's great to see. What drives you to make tough choices when it's not easy? It's your connection to our group's values, right, and wanting to make decisions that align with what we stand for?",Expert D,7.75,5.25,6.5,4
Reference Group Identification,"What's pushing you to give that extra effort on this task? It’s not just about personal achievement, it’s about showing the very best of what we are capable of. Your work reflects on all of us— so let’s share the pride together!",Expert E,5.25,5.0,5.125,5
Relatedness,"Can you think about all the people that are impacted by how you behave? When you feel like your work is genuinely connected to others, it's amazing how much more meaningful it becomes. ",Expert A,9.5,9.0,9.25,1
Relatedness,What's the best part of having people who genuinely care about you? It's like having a safety net—you feel more confident to take risks and be your best self.  Knowing they're there to support you makes it feel like you can handle anything that comes your way.,Expert E,8.0,7.5,7.75,2
Relatedness,"Imagine being how it is like when you are surrounded by people you deeply care about? You know, the ones who make you feel like you are home? When you are with them, you're more likely to open up and share your ideas, and that is when the magic happens and you are building a true connection with others.",Expert C,9.0,6.25,7.625,3
Relatedness,"What gets you going when you're tackling something tough? Is it knowing that someone believes in you? When you feel seen and valued, it's like a weight's been lifted, and you can focus on what really matters.",Expert B,7.5,6.75,7.125,4
Relatedness,"When you're working on a tough problem, don't you feel more motivated when you've got a team behind you? It's a great feeling to know you're understood and supported by the people you're working with. When that happens, you're more likely to give it your all and see things through.",Expert D,8.75,4.5,6.625,5
Self-concept,"So, you are working on something that's really pushing you. Can you think of what makes you, you – like, what sets you apart from others? When you make choices that honor those unique qualities, you feel like you are on the right path, like you are being true to yourself?",Expert C,9.0,8.25,8.625,1
Self-concept,Are you noticing how you approach problems in a way that feels uniquely yours? It's like you're drawing from a personal compass that guides your decisions. Trust that inner guide and let it steer you towards solutions that feel authentic and true to who you're becoming.,Expert A,7.25,8.5,7.875,2
Self-concept,"What does it mean when your work feels authentic? It’s like putting your stamp on it—saying, 'This is me, this is mine.' When you leave a piece of yourself in what you do, your work truly becomes meaningful and in return, it shapes and strengthens who you are.",Expert E,7.25,8.25,7.75,3
Self-concept,"What's driving you to tackle this problem in a certain way? You're making choices that reflect what's important to you, right? It's when your actions align with what you stand for that you'll feel most proud of what you've accomplished.",Expert D,6.25,5.5,5.875,4
Self-concept,"When you're deep in a project, do you notice how it feels when your work is a perfect fit for who you are? It's like you're moving in sync with your own rhythm. What happens when that rhythm gets disrupted - do you take a step back to realign with what matters most to you?",Expert B,5.75,5.75,5.75,5
Social Sanctions,"What is at stake when you are working on a tough project? You are not just building something, you are building a reputation. When you prioritize integrity and do things the right way, you are more likely to get recognition and respect from your peers and community.",Expert C,6.0,8.25,7.125,1
Social Sanctions,What would your peers think of you if they could see how much effort you put in completing this task well? Would they react negatively if your performance is seen as below your community’s standards?  How you approach tasks like these may affect how your peers see you.,Expert A,6.25,7.25,6.75,2
Social Sanctions,"What's the secret to getting people to want to work with you? It's when you're transparent and own up to your mistakes. If you don't, you might find that people start to doubt your work and don't want to collaborate with you, but when you're honest and learn from your errors, you'll get more respect and better teamwork.",Expert B,6.75,6.5,6.625,3
Social Sanctions,"How do you think others  will react if you don’t give your best effort? They might view you differently, right? But when you go the extra mile and meet expectations, you build a reputation that earns trust and opens doors to new opportunities.",Expert E,5.5,7.25,6.375,4
Social Sanctions,"What happens when you rush through things? You're likely to lose people's trust. When you take the time to get it right, like Emily, you earn a reputation for being reliable and get more support from the team.",Expert D,7.75,4.75,6.25,5
Verbal persuasion,"Can I grab some pom-poms and cheer you on for a sec? You've got the skills, the hustle, and the kind of determination it takes to crush this task. Whatever the challenge is, trust your ability—you’ve absolutely got this!\n",Expert E,9.0,8.75,8.875,1
Verbal persuasion,"Do you have what it takes to succeed in this task? We’re sure you do! You have the grit, the determination and the focus to perform well on these difficult challenges. ",Expert A,9.5,8.25,8.875,2
Verbal persuasion,Can you think of a time when you were working on a project and someone's positive feedback really boosted your confidence? What was it about their words that made you feel like you were on the right track? It is that kind of encouragement that can help you stay committed to finding a solution that aligns with your values and goals.,Expert C,8.5,6.75,7.625,3
Verbal persuasion,You're really close to breaking through on this challenge. What's it going to take for you to trust yourself and your abilities to get it done? It's your attention to detail and commitment to doing things right that's going to make all the difference.,Expert B,7.0,5.25,6.125,4
Verbal persuasion,"What's driving you to tackle this tough problem? You're doing great, and I think it's because you're staying true to yourself and your values. It's clear that you're not just looking for a quick fix, but a solution that you can really stand behind, and that's what's going to make it work.",Expert D,4.25,5.25,4.75,5
Vicarious experience,You're facing a challenge that's got you stumped. Can you recall a time when someone you know overcame a similar hurdle? Maybe it was a colleague who managed a tough project or a friend who mastered a new skill. Seeing how they broke it down and pushed through can be a huge confidence booster for you too.,Expert B,9.0,7.25,8.125,1
Vicarious experience,"Can you imagine someone like you, investing themselves in doing this task well and succeeding? You can do that too! Through sustained effort you are capable of becoming a master of these tasks, just like them.",Expert A,7.5,8.0,7.75,2
Vicarious experience,"What do you think gives someone the courage to try something challenging? Is it seeing that others, who may have started out just like you, have been able to figure it out and achieve their goals? It is very encouragin watching others succeed can show us that we are capable of more than we think.",Expert C,8.75,6.75,7.75,3
Vicarious experience,"What's helping you tackle this tough task? You're probably watching how others in your group approach it, right? Seeing someone similar to you work through a problem can be really inspiring and help you find your own way to solve it.",Expert D,9.25,5.25,7.25,4
Vicarious experience,"Have you ever noticed how the success of others can spark something in you? Their achievements remind us that overcoming challenges is possible and growth is always within reach. Let their journey inspire your own—if they can do it, so can you!",Expert E,7.5,6.25,6.875,5
