participant_id,age,gender,ethnicity,native_language,highest_education,online_tests_taken_last_3_years,motivational_message_id,concept,theory,time_spent_on_message,word_creation_skill_level,cheating_rate_practice_round,total_words_practice_round,cheating_rate_main_round,total_words_main_round,cheating_lying_rate,performance_score_excluding_cheated_words,performance_score_including_cheated_words,used_external_resources,confessed_words_count,cheating_main_round,has_page_left,total_time_page_left,has_mouse_inactivity,total_time_mouse_inactivity,valid_7_letter_words,valid_8_letter_words,usability,task_engagement,task_satisfaction,message_understanding,PME_on_honest_task_completion,PME_on_task_performance,PME_on_task_experience,autonomy_need_satisfaction,autonomy_need_frustration,competence_need_satisfaction,competence_need_frustration,relatedness_need_satisfaction,relatedness_need_frustration,overall_need_satisfaction,overall_need_frustration,performance_accomplishments,vicarious_experience,verbal_persuasion,emotional_arousal,task_specific_self_efficacy,injunctive_norms,descriptive_norms,reference_group_identification,social_sanctions,norm_perception,cognitive_discomfort,moral_disengagement,message_comprehend,message_confidence,message_attitude,message_impact,message_persistence,message_suggestion,feedback
p_11,33.0,Male,White or Caucasian,English,Bachelor’s degree,1500.0,competence_3,competence,Self-Determination Theory,45.95,8,0.0,5,1.0,8,1.0,0,40,False,0,True,0,0.0,1,12.82,3.0,1.0,6.33,5.12,6.0,4.0,4.33,5.0,3.67,6.0,4.0,5.0,2.5,3.5,2.5,4.83,3.0,5.5,4.5,5.5,4.0,4.88,6.5,6.0,6.0,6.5,6.25,1.33,6.33,After the word creation it's all a bit of a blur. I think it talked about motivation but I'm struggling to fully recall!,1.0,Wondering how it was relevant,I think it made me think about words,No,I would make it more fun.,
p_12,30.0,Male,White or Caucasian,"ROmanian, english, Italian",Bachelor’s degree,0.0,self_concept_2,self_concept,Cognitive Dissonance Theory,37.72,6,0.0,3,0.83,6,1.0,0,10,False,0,True,1,14.57,1,32.96,0.0,0.0,7.0,6.0,6.0,5.33,4.0,5.2,6.0,7.0,3.5,3.5,2.5,3.5,3.0,4.67,3.0,3.5,5.5,5.0,3.0,4.25,4.5,4.0,4.0,4.5,4.25,1.33,5.17,"How I made the challenge about myself, aka used my own experiences to try and find words.",4.0,stress about time,"none, I understood what it meant and I kept using that method to proceed.",The fact that I was indeed looking into my experiences to try and find words that would work.,"it seemed nice, quick and straight to the point,",
p_13,20.0,Male,White or Caucasian,English,Bachelor’s degree,16.0,control,control,No Theory,15.57,4,0.0,3,0.0,5,0.0,18,18,False,0,False,0,0.0,0,0.0,1.0,0.0,6.67,5.25,6.4,6.0,5.0,6.0,6.67,6.0,3.5,3.5,5.0,6.5,1.0,5.33,3.17,3.0,5.0,3.5,3.0,3.62,6.5,6.0,5.5,6.0,6.0,1.22,5.0,Clicking the box below once it appears and have read this message,3.0,A little nerves as it made me know that the challenge was about to start on the next page,It made me feel anxious but it also made me feel prepared because I knew what was about to come,,An attention check just to make sure that they are actively engaging in the study,
p_14,36.0,Male,White or Caucasian,english,"High school graduate, diploma or the equivalent (for example: GED)",5.0,vicarious_experience_1,vicarious_experience,Self-Efficacy Theory,14.38,4,0.0,1,1.0,5,1.0,0,28,False,0,True,1,34.03,1,10.8,0.0,2.0,3.33,3.5,7.0,4.33,4.0,6.2,6.67,4.0,2.0,6.0,2.0,4.5,1.5,4.83,1.83,6.5,6.5,7.0,7.0,6.75,5.5,6.0,6.5,6.5,6.12,1.67,3.83,no idea,1.0,none really,just try to concentrate,none really,stay clear headed,i thought it was great it was fun i enjoyed it very much
p_15,29.0,Female,White or Caucasian,English,Bachelor’s degree,1.0,performance_accomplishments_3,performance_accomplishments,Self-Efficacy Theory,13.76,4,0.0,3,1.0,6,0.67,0,34,True,2,True,1,23.23,1,0.03,1.0,2.0,7.0,5.0,7.0,3.33,2.0,1.0,3.33,3.5,3.5,6.0,2.0,5.5,3.5,5.0,3.0,6.5,1.0,2.5,4.5,3.62,4.0,4.0,4.0,4.0,4.0,1.33,5.5,Ways of thinking,2.0,Indifference,no it did not,no they did not,I wouldn't bother,
p_17,30.0,Male,White or Caucasian,English,Bachelor’s degree,6.0,self_concept_2,self_concept,Cognitive Dissonance Theory,22.7,6,0.0,3,0.0,5,0.0,14,14,False,0,False,0,0.0,1,13.68,0.0,0.0,6.33,5.75,6.2,6.0,4.67,6.0,5.67,6.0,2.0,5.0,3.0,5.5,2.0,5.5,2.33,5.0,5.0,6.0,6.0,5.5,5.5,5.0,5.5,5.0,5.25,2.0,3.5,being my authentic self and trusting my inner guide to make decisions,4.0,I had an increased sense of self-belief,It made me more confident in taking on the challenge,Trusting myself in the decisions I was making,To remain calm and take your time,I thought it was interesting and challenging in a fun way
p_19,35.0,Male,White or Caucasian,Englidh,Bachelor’s degree,0.0,performance_accomplishments_3,performance_accomplishments,Self-Efficacy Theory,17.92,6,0.0,6,0.0,9,0.0,36,36,False,0,False,0,0.0,0,0.0,0.0,1.0,6.67,5.25,7.0,2.33,2.67,3.2,3.33,5.5,2.0,4.0,1.0,3.5,2.0,4.33,1.67,4.0,2.0,2.0,2.0,2.5,4.0,3.0,3.5,5.0,3.88,1.11,4.0,A time I felt I had mastered something,2.0,Confused about what relevance it had.,It didn't really.,None.,I would make it more relevant to the task rather than being so generic.,I really enjoyed the word challenge.
p_20,35.0,Male,White or Caucasian,English,Master’s degree,10.0,dissonance_reduction_3,dissonance_reduction,Cognitive Dissonance Theory,31.78,6,0.0,5,0.0,6,0.0,16,16,False,0,False,0,0.0,0,0.0,0.0,0.0,5.67,4.38,6.2,5.0,3.33,4.4,4.33,5.5,2.5,4.5,3.5,4.0,2.5,4.67,2.83,4.5,4.0,4.5,4.0,4.25,4.0,5.0,4.5,4.0,4.38,1.67,3.67,Making a minor tweak to impove performance,4.0,Curiosity,It didn't really,,Suggest an actual tweak e.g. re-order the letters or separate vowels and consonants,
p_21,29.0,Female,Black or African American,SWAHILI,Master’s degree,6.0,autonomy_1,autonomy,Self-Determination Theory,210.35,9,0.0,0,0.0,4,0.0,10,10,False,0,False,0,0.0,1,24.36,0.0,0.0,5.0,2.0,6.0,4.0,4.0,4.8,5.0,5.0,2.5,5.0,3.0,4.0,2.5,4.67,2.67,5.0,4.5,4.0,4.0,4.38,4.5,4.0,4.0,4.5,4.25,1.78,2.33,It had instructions on how to take the challenge,2.0,I thought the challenge will challenge me,It prepared me psychologically,Not really,Clear instructions.,
p_22,30.0,Male,White or Caucasian,English,"Some high school, no diploma",0.0,injunctive_norms_2,injunctive_norms,Social Norms Theory,12.64,1,0.0,1,0.0,5,0.0,14,14,False,0,False,1,13.88,1,3.73,0.0,0.0,6.0,5.12,6.2,6.0,5.0,4.6,6.0,3.0,3.0,2.5,3.0,2.5,2.0,2.67,2.67,4.0,4.0,3.0,3.5,3.62,4.0,4.0,4.0,4.0,4.0,1.44,4.33,Imagine you are faced with a tough decision.,5.0,,It didn't,No,No,
p_23,35.0,Female,White or Caucasian,English,Master’s degree,20.0,cognitive_inconsistency_3,cognitive_inconsistency,Cognitive Dissonance Theory,20.32,2,0.0,1,0.8,5,1.0,2,10,False,0,True,0,0.0,1,6.69,0.0,0.0,6.33,6.0,6.0,2.67,2.67,3.8,3.33,5.5,3.5,4.0,4.5,3.5,3.5,4.33,3.83,4.0,3.0,3.0,3.0,3.25,4.0,4.0,3.5,3.5,3.75,1.89,2.0,I read the message a few times as I thought some of the words would be in the puzzle but now I can't remember what it said,1.0,,I thought it was a hint to the word choices,No,Unsure,I enjoyed the challenge part
p_24,30.0,Female,White or Caucasian,English,Bachelor’s degree,4.0,autonomy_3,autonomy,Self-Determination Theory,13.73,7,0.0,4,0.0,8,0.0,32,32,False,0,False,0,0.0,1,0.25,2.0,0.0,4.67,5.0,6.4,6.0,4.0,6.4,5.33,6.5,2.0,6.5,1.5,5.0,1.5,6.0,1.67,4.5,7.0,5.5,4.5,5.38,7.0,6.5,3.0,4.0,5.12,1.0,4.5,being the captain of my own ship. That I couldn't complete the task if I didn't know where I was headed.,4.0,Determination and inspiration,I had already decided that to think of words with -ed on the end makes it easier to take only a few letters and make them in to a 5 letter word so that was my approach in the main study as well.,Just to decide on how I wanted to approach it and just follow that approach.,"I would emphasise to have a plan before you begin or at least when you first start, see the letters you've been given and figure out a way that would make it easier for those letters to be used frequently.",I'm not entirely sure. I don't know if it's about what I said about finding a way to easily create longer words like adding -ed or -ing for example. If people maybe think of that as cheating or it doesn't cross some people's minds. When I read that though I felt like someone was telling me that having a tactic like that was totally ok and to try my best with what I get given.
p_25,34.0,Male,Black or African American,English,Master’s degree,3.0,reference_group_identification_3,reference_group_identification,Social Norms Theory,25.4,9,1.0,1,0.0,4,0.0,18,18,False,0,False,0,0.0,1,19.63,1.0,0.0,5.67,5.0,6.4,4.33,4.33,4.6,5.33,5.0,5.0,5.0,5.0,4.0,3.5,4.67,4.5,5.5,4.5,5.0,6.0,5.25,6.0,5.5,5.0,6.0,5.62,3.11,2.17,sreating words out of letters with a given time.,2.0,timely,none at all,none,nothing,The study is a brain teaser and i would recommend to anyone.
p_26,35.0,Male,White or Caucasian,Greek,Master’s degree,2.0,cognitive_inconsistency_1,cognitive_inconsistency,Cognitive Dissonance Theory,13.6,8,1.0,3,1.0,10,1.0,0,38,False,0,True,1,26.6,0,0.0,2.0,0.0,6.67,6.25,6.8,4.0,1.0,1.0,2.0,6.0,1.0,6.5,1.0,2.5,1.0,5.0,1.0,5.0,3.5,4.5,4.0,4.25,5.0,2.5,3.5,5.0,4.0,1.11,4.5,Prioritise what to focus on,1.0,Confusion,Had no impact,No,Tips on how to improve the performance,It was really fun!
p_28,28.0,Male,White or Caucasian,English,"High school graduate, diploma or the equivalent (for example: GED)",10.0,reference_group_identification_1,reference_group_identification,Social Norms Theory,14.18,4,0.0,4,1.0,8,1.0,0,30,False,0,True,0,0.0,1,21.22,2.0,0.0,7.0,4.5,5.8,3.67,2.33,2.6,4.33,6.0,2.0,3.0,2.5,2.0,2.5,3.67,2.33,2.0,2.0,1.5,2.0,1.88,3.5,3.0,1.5,1.5,2.38,1.33,2.83,"Hello, you're a part of the community now of people trying to problem solve.",1.0,"Nothing really, I was a bit confused about it",Didn't change it at all,Nothing stayed with me,I'd add that it should be fun and enjoy it,"Everything ran and worked well, very fluid UI. Enjoyed the actual task, the survey not as much"
p_29,23.0,Male,White or Caucasian,English,Master’s degree,30.0,vicarious_experience_1,vicarious_experience,Self-Efficacy Theory,19.16,4,0.0,1,1.0,3,1.0,0,12,False,0,True,1,14.69,1,8.3,0.0,0.0,6.33,4.88,5.6,5.33,2.67,3.4,3.67,5.5,5.0,4.5,4.5,3.5,2.5,4.5,4.0,4.0,4.5,3.5,5.0,4.25,4.5,5.5,4.5,5.0,4.88,2.22,5.5,challenging situations,4.0,excitment,did not,no,Try hard to perform your best,It was very funny. I really enjoyed participating
p_30,22.0,Male,Prefer not to say,English,"High school graduate, diploma or the equivalent (for example: GED)",6.0,competence_1,competence,Self-Determination Theory,13.24,6,0.0,1,0.0,8,0.0,20,20,False,0,False,0,0.0,0,0.0,1.0,0.0,4.67,3.5,5.6,3.67,4.0,2.4,3.0,6.0,4.5,4.5,3.0,2.5,3.0,4.33,3.5,4.0,2.5,4.0,3.5,3.5,6.0,5.5,4.0,2.5,4.5,1.0,1.5,"I have forgotten, what it had said. It mentioned something about puzzles or something.",2.0,"Not much emotion, but the message didn't seem relevant, and seemed as if it was from like an AI or something.",No influence.,None.,"Read the letters first, and try and make words from it first, then memorise those words and enter them in.","The appearance of this study was professional, however the task itself was clunky, as sometimes the words would not move around as intended."
p_31,34.0,Male,Asian / Pacific Islander,english,Bachelor’s degree,15.0,verbal_persuasion_1,verbal_persuasion,Self-Efficacy Theory,13.52,8,0.0,0,1.0,5,1.0,0,24,False,0,True,1,115.56,1,1.35,2.0,0.0,6.0,5.0,6.0,6.0,3.67,3.8,5.67,6.0,3.0,4.5,3.0,4.5,3.0,5.0,3.0,4.5,5.0,5.0,3.5,4.5,5.0,5.0,4.0,3.0,4.25,2.11,5.17,it was a motivational message telling me that i was good at the task,3.0,none,it didn't really influmence me,no,to try your best at the task,the study was fun
p_32,19.0,Male,White or Caucasian,English,"High school graduate, diploma or the equivalent (for example: GED)",4.0,descriptive_norms_3,descriptive_norms,Social Norms Theory,12.84,4,0.0,2,1.0,14,0.86,0,52,True,2,True,1,15.67,0,0.0,1.0,2.0,7.0,5.62,6.6,6.0,5.0,6.0,6.0,6.5,2.5,5.5,2.0,3.0,2.5,5.0,2.33,6.0,6.0,6.0,6.0,6.0,6.0,5.0,3.5,4.5,4.75,2.0,4.0,how people tend to approach problem-solving tasks,2.0,"creativity, focus, attention",I made sure I was focused and tried to think of as many words as possible,the creativity aspect,have fun and think of as many words as possible,I loved the study - it was fun and engaging. Would love to do it again!
p_33,24.0,Female,White or Caucasian,english,"High school graduate, diploma or the equivalent (for example: GED)",4.0,control,control,No Theory,17.7,2,0.0,1,0.0,6,0.0,8,8,False,0,False,0,0.0,0,0.0,0.0,0.0,7.0,5.88,7.0,3.67,1.0,1.6,3.67,5.5,1.5,5.5,2.5,4.5,2.0,5.17,2.0,4.0,3.5,5.0,3.0,3.88,5.5,4.0,3.0,3.0,3.88,1.0,5.0,"i read the message, continue",2.0,no emotion,no,no,im not sure,
p_34,31.0,Female,White or Caucasian,English,Bachelor’s degree,0.0,dissonance_reduction_2,dissonance_reduction,Cognitive Dissonance Theory,24.96,2,0.0,3,0.0,8,0.0,14,14,False,0,False,0,0.0,1,2.35,0.0,0.0,6.0,5.75,5.8,2.33,3.33,2.6,3.67,3.5,4.0,5.0,2.5,3.0,3.5,3.83,3.33,3.5,2.5,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.78,3.67,being authentic and reflecting my values while tackling the challenge head-on,4.0,confusion how being authentic was relevant to a word-building task,don't think it had much influence,"don't think so, I tried to take the message as a general motivational one to spur me on",just doing your best and having fun,
p_35,32.0,Female,White or Caucasian,English,"High school graduate, diploma or the equivalent (for example: GED)",30.0,emotional_arousal_2,emotional_arousal,Self-Efficacy Theory,18.13,4,0.0,1,0.0,4,0.0,14,14,False,0,False,0,0.0,1,22.9,0.0,0.0,7.0,6.62,7.0,5.67,4.0,7.0,7.0,6.5,1.0,3.0,3.5,6.0,1.0,5.17,1.83,2.0,4.5,4.0,6.5,4.25,4.0,3.5,3.0,4.0,3.62,1.0,1.67,An inner drive that helps to push us through tasks,3.0,"I felt motivated, supported and encouraged.",It made me feel more inclined to approach the task with enthusiasm,no I forgot about the message during the challenge,I would say they are doing a great job,
p_36,35.0,Male,White or Caucasian,English,Bachelor’s degree,800.0,descriptive_norms_1,descriptive_norms,Social Norms Theory,19.49,4,1.0,2,1.0,5,1.0,0,20,False,0,True,0,0.0,1,8.56,1.0,0.0,7.0,6.12,6.4,5.0,4.33,4.2,5.0,6.5,3.0,5.5,2.5,5.5,2.0,5.83,2.5,5.0,2.5,5.0,2.5,3.75,4.5,4.0,3.5,3.5,3.88,1.11,3.17,I cannot remember for the life of me!,1.0,I think conscientiousness and perseverance,Not that I believe,No,Not that I can think of!,
p_37,28.0,Male,Black or African American,English,Master’s degree,20.0,injunctive_norms_2,injunctive_norms,Social Norms Theory,27.12,3,0.0,0,1.0,5,1.0,0,24,False,0,True,0,0.0,1,53.95,0.0,2.0,6.67,4.0,7.0,4.67,4.33,4.6,5.33,5.5,3.0,5.0,3.0,4.0,2.5,4.83,2.83,5.0,4.5,4.5,4.5,4.62,4.5,4.0,3.5,4.0,4.0,1.44,3.33,I cannot remember,1.0,I did not have any emotions,I wanted to give my best,Not really.,Do your best.,"I did not expect the study to be this short, I wanted more challenge as i enjoyed it."
p_38,19.0,Male,White or Caucasian,english,Trade/technical/vocational training,20.0,control,control,No Theory,14.02,3,0.0,5,0.6,10,1.0,10,32,False,0,True,0,0.0,1,10.43,0.0,1.0,6.0,3.25,5.0,1.33,1.0,1.0,1.0,5.5,1.5,2.5,3.5,2.5,4.0,3.5,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.5,1.5,2.0,2.25,1.89,4.83,A congratulation for completing the practice and to click on a button to proceed when it appeared,1.0,none,no way influenced,no,that this message should be remembered,"i have absolutely no idea what the message was or why it was so important, there was no indication it needed to be remembered"
p_39,30.0,Female,White or Caucasian,English,Professional degree,20.0,verbal_persuasion_2,verbal_persuasion,Self-Efficacy Theory,12.42,4,0.0,5,0.0,9,0.0,22,22,False,0,False,0,0.0,0,0.0,0.0,0.0,6.33,5.38,6.0,5.67,2.67,4.4,4.67,5.0,3.5,5.0,4.0,4.5,2.5,4.83,3.33,5.0,6.0,4.5,5.0,5.12,5.5,5.0,2.5,4.0,4.25,1.89,4.0,motivation to complete the challenge,2.0,to get on with the task,"none really, I completed the task in the same way I would have done otherwise",none,motivational speech,
p_40,30.0,Female,White or Caucasian,English and Welsh,Trade/technical/vocational training,4.0,dissonance_reduction_1,dissonance_reduction,Cognitive Dissonance Theory,16.62,7,0.0,2,0.0,6,0.0,14,14,False,0,False,0,0.0,1,0.14,0.0,0.0,6.33,5.88,6.8,5.67,5.33,6.4,6.33,6.0,2.5,5.5,2.5,5.0,3.5,5.5,2.83,6.0,7.0,6.0,5.5,6.12,4.5,5.0,3.0,5.0,4.38,1.89,3.5,how I went about doing the task,3.0,relief,it made me approach the challenge calmer,no,I would include to not overthink and not stress,I really enjoyed this study and would have enjoyed more rounds.
p_41,30.0,Male,White or Caucasian,English,Bachelor’s degree,5.0,verbal_persuasion_2,verbal_persuasion,Self-Efficacy Theory,13.79,6,0.0,3,0.0,9,0.0,24,24,False,0,False,0,0.0,0,0.0,1.0,0.0,7.0,5.5,7.0,4.33,1.0,3.2,4.33,7.0,1.0,7.0,1.0,5.5,1.0,6.5,1.0,6.0,5.5,6.5,3.5,5.38,7.0,6.0,7.0,5.5,6.38,1.0,1.83,Being strong,2.0,Feeling confident,Did not influence me,Confidence,Concentration and knowledge,"Enjoyable, thank you"
p_42,30.0,Male,White or Caucasian,English,"Some college credit, no degree",100.0,competence_2,competence,Self-Determination Theory,51.69,8,1.0,5,1.0,7,0.86,0,38,True,1,True,1,38.32,0,0.0,2.0,2.0,7.0,5.25,6.2,3.67,3.33,3.0,4.67,5.0,4.0,6.0,3.0,4.0,2.0,5.0,3.0,6.0,5.0,5.0,5.0,5.25,4.0,4.0,3.0,3.0,3.5,1.33,3.5,The game being a puzzle solving one?,1.0,I can't remember the message,,No,I'm not sure,"I enjoyed the game, word puzzles are something i like to do in my spare time so it was enjoyable"
p_43,34.0,Male,Black or African American,"Twi, ewe",Master’s degree,15.0,injunctive_norms_3,injunctive_norms,Social Norms Theory,42.64,4,1.0,1,1.0,9,1.0,0,18,False,0,True,1,38.88,1,5.59,0.0,0.0,7.0,1.38,7.0,7.0,4.33,6.6,7.0,7.0,4.0,6.5,6.5,3.5,4.0,5.67,4.83,7.0,7.0,7.0,4.5,6.38,7.0,6.5,6.5,6.5,6.62,1.22,3.5,what does it take to deliver work you are proud of,5.0,motivation,i felt motivated,motivation,encouraging everyone,
p_44,22.0,Female,mixed white asian,english,Bachelor’s degree,15.0,descriptive_norms_3,descriptive_norms,Social Norms Theory,22.57,4,0.0,4,0.14,14,1.0,16,16,False,0,True,1,14.56,0,0.0,0.0,0.0,7.0,6.12,5.6,4.0,1.0,4.0,4.0,6.5,3.0,6.0,1.0,5.0,6.0,5.83,3.33,6.0,3.5,5.0,6.0,5.12,6.0,6.0,6.0,6.0,6.0,1.22,5.5,i don't remember,1.0,i just want to get to the next section,nope,nope,less words,"i did not paste my prolific ID, it is:"
p_45,28.0,Male,Black or African American,English,Master’s degree,0.0,cognitive_inconsistency_1,cognitive_inconsistency,Cognitive Dissonance Theory,19.83,7,1.0,3,0.0,8,0.0,24,32,True,2,True,0,0.0,1,4.98,0.0,0.0,5.67,6.0,6.8,4.33,4.0,4.0,4.33,4.0,4.0,4.0,4.5,3.5,4.5,3.83,4.33,5.0,4.5,5.0,4.5,4.75,4.5,5.0,5.5,5.5,5.12,3.44,2.17,"Unsure - I feel like the challenge wiped my mind out, I was so focused on the words.",1.0,"I do not remember the message, but I somewhat remember feeling motivated when I read the message.","It didn't, but it helped me concentrate.",,"Motivation and imagination, to imagine they are somewhere, so their mind feels focused.","Study was good. For feedback, I think it'd be good if we can use the keyboard to create the words rather than a drag and drop with the mouse."
